"arrival_date_year","meal","hotel","arrival_date_month","total_meal"
2017,"Full Board","City Hotel","February","1"
2017,"Full Board","Resort Hotel","March","2"
2017,"Full Board","City Hotel","March","2"
2017,"Full Board","Resort Hotel","February","3"
2017,"Full Board","Resort Hotel","January","3"
2017,"Full Board","Resort Hotel","May","7"
2017,"Full Board","Resort Hotel","June","7"
2017,"Self-Catering","Resort Hotel","June","13"
2017,"Full Board","Resort Hotel","April","15"
2017,"Full Board","Resort Hotel","July","15"
2017,"Self-Catering","Resort Hotel","May","16"
2017,"Self-Catering","Resort Hotel","August","24"
2017,"Self-Catering","Resort Hotel","July","24"
2017,"Full Board","Resort Hotel","August","40"
2017,"Self-Catering","Resort Hotel","April","73"
2017,"Self-Catering","Resort Hotel","February","79"
2017,"Half Board","City Hotel","March","88"
2017,"Self-Catering","Resort Hotel","March","89"
2017,"Half Board","City Hotel","January","95"
2017,"Half Board","City Hotel","February","106"
2017,"Self-Catering","Resort Hotel","January","134"
2017,"Half Board","Resort Hotel","January","139"
2017,"Half Board","City Hotel","April","179"
2017,"Half Board","City Hotel","May","195"
2017,"Half Board","City Hotel","June","223"
2017,"Half Board","Resort Hotel","February","241"
2017,"Half Board","Resort Hotel","March","278"
2017,"Half Board","City Hotel","July","353"
2017,"Half Board","City Hotel","August","358"
2017,"Half Board","Resort Hotel","June","380"
2017,"Half Board","Resort Hotel","May","387"
2017,"Self-Catering","City Hotel","January","387"
2017,"Half Board","Resort Hotel","April","424"
2017,"Half Board","Resort Hotel","July","480"
2017,"Self-Catering","City Hotel","February","508"
2017,"Half Board","Resort Hotel","August","551"
2017,"Self-Catering","City Hotel","March","566"
2017,"Self-Catering","City Hotel","August","660"
2017,"Self-Catering","City Hotel","April","718"
2017,"Self-Catering","City Hotel","June","734"
2017,"Self-Catering","City Hotel","July","750"
2017,"Self-Catering","City Hotel","May","816"
2017,"Bed and Breakfast","Resort Hotel","January","1033"
2017,"Bed and Breakfast","Resort Hotel","August","1185"
2017,"Bed and Breakfast","Resort Hotel","March","1189"
2017,"Bed and Breakfast","Resort Hotel","April","1230"
2017,"Bed and Breakfast","Resort Hotel","July","1235"
2017,"Bed and Breakfast","Resort Hotel","February","1260"
2017,"Bed and Breakfast","Resort Hotel","June","1276"
2017,"Bed and Breakfast","Resort Hotel","May","1347"
2017,"Bed and Breakfast","City Hotel","January","1890"
2017,"Bed and Breakfast","City Hotel","February","1979"
2017,"Bed and Breakfast","City Hotel","August","2107"
2017,"Bed and Breakfast","City Hotel","July","2456"
2017,"Bed and Breakfast","City Hotel","March","2756"
2017,"Bed and Breakfast","City Hotel","June","3014"
2017,"Bed and Breakfast","City Hotel","April","3022"
2017,"Bed and Breakfast","City Hotel","May","3545"
