"arrival_date_year","arrival_date_month","hotel","total_number_booking"
2017,"May","City Hotel","4556"
2017,"June","City Hotel","3971"
2017,"April","City Hotel","3919"
2017,"July","City Hotel","3559"
2017,"March","City Hotel","3412"
2017,"August","City Hotel","3125"
2017,"February","City Hotel","2594"
2017,"January","City Hotel","2372"
2017,"August","Resort Hotel","1800"
2017,"May","Resort Hotel","1757"
2017,"July","Resort Hotel","1754"
2017,"April","Resort Hotel","1742"
2017,"June","Resort Hotel","1676"
2017,"February","Resort Hotel","1583"
2017,"March","Resort Hotel","1558"
2017,"January","Resort Hotel","1309"
