"arrival_date_year","arrival_date_month","hotel","assigned_room_type","total_adr"
2017,"May","City Hotel","A","401330.1499999982"
2017,"June","City Hotel","A","348198.7500000011"
2017,"April","City Hotel","A","306242.9699999996"
2017,"July","City Hotel","A","268576.03000000207"
2017,"August","City Hotel","A","239029.90000000136"
2017,"March","City Hotel","A","208280.28999999995"
2017,"February","City Hotel","A","151974.87"
2017,"January","City Hotel","A","146931.13000000003"
2017,"August","Resort Hotel","A","133067.83000000022"
2017,"May","City Hotel","D","132486.74000000008"
2017,"August","City Hotel","D","127510.03000000022"
2017,"July","City Hotel","D","113589.84000000023"
2017,"June","City Hotel","D","106479.16000000005"
2017,"April","City Hotel","D","104389.2600000001"
2017,"July","Resort Hotel","A","99385.66000000012"
2017,"August","Resort Hotel","D","83387.76999999997"
2017,"June","Resort Hotel","A","75453.4899999998"
2017,"July","Resort Hotel","D","72354.11000000003"
2017,"March","City Hotel","D","71999.88000000008"
2017,"August","Resort Hotel","E","56426.65999999998"
2017,"February","City Hotel","D","54739.18000000005"
2017,"July","Resort Hotel","E","51823.489999999976"
2017,"May","Resort Hotel","A","49609.06999999971"
2017,"April","Resort Hotel","A","49439.78999999995"
2017,"January","City Hotel","D","39003.66000000002"
2017,"June","Resort Hotel","D","38317.6000000001"
2017,"April","Resort Hotel","D","34739.66999999996"
2017,"May","Resort Hotel","D","34028.33999999997"
2017,"February","Resort Hotel","A","33031.66"
2017,"August","Resort Hotel","C","31627.7"
2017,"August","Resort Hotel","G","31234.23"
2017,"April","Resort Hotel","E","30272.389999999974"
2017,"May","Resort Hotel","E","30036.100000000006"
2017,"March","Resort Hotel","A","30017.059999999987"
2017,"July","Resort Hotel","G","29454.120000000006"
2017,"June","Resort Hotel","E","29387.850000000006"
2017,"July","City Hotel","E","28637.579999999984"
2017,"April","City Hotel","E","27518.730000000007"
2017,"August","City Hotel","F","27352.829999999998"
2017,"March","Resort Hotel","D","26203.16999999999"
2017,"May","City Hotel","E","25963.600000000002"
2017,"July","Resort Hotel","C","25610.970000000012"
2017,"April","City Hotel","F","24568.79"
2017,"January","Resort Hotel","A","24304.59000000002"
2017,"February","Resort Hotel","D","23983.710000000014"
